date,event,location,time,alternating,notes
2026-04-25,Festival de Bandas de Vieira do Minho,Vieira do Minho,14h,Banda Musical de Calvos/Banda de Vieira do Minho/Banda de Vilarchão,Entrada Livre
2026-04-26,Festa em Honra de Santa Senhorinha,Basto (Santa Senhorinha),14h,,Romaria
2026-05-16,Festa em Honra de Santa Cruz, Alvarães (Viana do Castelo),8h,Banda X,Romaria
2026-05-31,Concerto de Primavera,Praça da República (Cabeceiras de Basto),21h30,,Entrada Livre
2026-06-23,São João de Braga,Braga,8h,Banda de X,Romaria
2026-06-28,Festa em Honra de São Pedro,Alvite (Cabeceiras de Basto),14h,,Romaria
